Metric,Value
Date verified,2026-06-26
Institutions and major organizations researched,24
Contacts,141
Named contacts,65
Operational/venue/procurement/partnership contacts,87
Senior influence records,25
Verified personal emails,9
Verified departmental emails,45
Departmental/general email routes,75
Contacts requiring phone/contact-form research,57
Convocations and ceremonies identified,44
Venues identified,17
Student organizations identified,13
Trades and professional bodies identified,20
Tier 1 institution/organization opportunities,4
Tier 2 institution/organization opportunities,10
Priority outreach contacts ranked,100
Research gaps documented,32
Phase 1 connections,20
